	time	error
290	1.5	5e-10
291	1.5	5e-10
292	1.5	5e-10
293	1.5	5e-10
294	1.5	5e-10
295	1.5	5e-10
296	1.5	5e-10
297	1.5	5e-10
298	1.5	5e-10
299	1.5	5e-10
300	1.5	5e-10
301	1.5	5e-10
302	1.5	5e-10
303	1.5	5e-10
304	1.5	5e-10
305	1.5	5e-10
306	1.5	5e-10
307	1.5	5e-10
308	1.5	5e-10
309	1.5	5e-10
310	1.5	5e-10
311	1.5	5e-10
312	1.5	5e-10
313	1.5	5e-10
314	1.5	5e-10
315	1.5	5e-10
316	1.5	5e-10
317	1.5	5e-10
318	1.5	5e-10
319	1.5	5e-10
320	1.5	5e-10
321	1.5	5e-10
322	1.5	5e-10
323	1.5	5e-10
324	1.5	5e-10
325	1.5	5e-10
326	1.5	5e-10
327	1.5	5e-10
328	1.5	5e-10
329	1.5	5e-10
330	1.5	5e-10
331	1.5	5e-10
332	1.5	5e-10
333	1.5	5e-10
334	1.5	5e-10
335	1.5	5e-10
336	1.5	5e-10
337	1.5	5e-10
338	1.5	5e-10
339	1.5	5e-10
340	1.5	5e-10
341	1.5	5e-10
342	1.5	5e-10
343	1.5	5e-10
344	1.5	5e-10
345	1.5	5e-10
346	1.5	5e-10
347	1.5	5e-10
348	1.5	5e-10
349	1.5	5e-10
350	1.5	5e-10
351	1.5	5e-10
352	1.5	5e-10
353	1.5	5e-10
354	1.5	5e-10
355	1.5	5e-10
356	1.5	5e-10
357	1.5	5e-10
358	1.5	5e-10
359	1.5	5e-10
360	1.5	5e-10
361	1.5	5e-10
362	1.5	5e-10
363	1.5	5e-10
364	1.5	5e-10
365	1.5	5e-10
366	1.5	5e-10
367	1.5	5e-10
368	1.5	5e-10
369	1.5	5e-10
370	1.5	5e-10
371	1.5	5e-10
372	1.5	5e-10
373	1.5	5e-10
374	1.5	5e-10
375	1.5	5e-10
376	1.5	5e-10
377	1.5	5e-10
378	1.5	5e-10
379	1.5	5e-10
380	1.5	5e-10
381	1.0	5e-10
382	1.0	5e-10
383	1.0	5e-10
384	1.0	5e-10
385	1.0	5e-10
386	1.0	5e-10
387	1.0	5e-10
388	1.0	5e-10
389	1.0	5e-10
390	1.0	5e-10
391	1.0	5e-10
392	1.0	5e-10
393	1.0	5e-10
394	1.0	5e-10
395	1.0	5e-10
396	1.0	5e-10
397	1.0	5e-10
398	1.0	5e-10
399	1.0	5e-10
400	1.0	5e-10
401	1.0	5e-10
402	1.0	5e-10
403	1.0	5e-10
404	1.0	5e-10
405	1.0	5e-10
406	1.0	5e-10
407	1.0	5e-10
408	1.0	5e-10
409	1.0	5e-10
410	1.0	5e-10
411	1.0	5e-10
412	1.0	5e-10
413	1.0	5e-10
414	1.0	5e-10
415	1.0	5e-10
416	1.0	5e-10
417	1.0	5e-10
418	1.0	5e-10
419	1.0	5e-10
420	1.0	5e-10
421	1.0	5e-10
422	1.0	5e-10
423	1.0	5e-10
424	1.0	5e-10
425	1.0	5e-10
426	1.0	5e-10
427	1.0	5e-10
428	1.0	5e-10
429	1.0	5e-10
430	1.0	5e-10
431	1.0	5e-10
432	1.0	5e-10
433	1.0	5e-10
434	1.0	5e-10
435	1.0	5e-10
436	1.0	5e-10
437	1.0	5e-10
438	1.0	5e-10
439	1.0	5e-10
440	1.0	5e-10
441	1.0	5e-10
442	1.0	5e-10
443	1.0	5e-10
444	1.0	5e-10
445	1.0	5e-10
446	1.0	5e-10
447	1.0	5e-10
448	1.0	5e-10
449	1.0	5e-10
450	1.0	5e-10
451	1.0	5e-10
452	1.0	5e-10
453	1.0	5e-10
454	1.0	5e-10
455	1.0	5e-10
456	1.0	5e-10
457	1.0	5e-10
458	1.0	5e-10
459	1.0	5e-10
460	1.0	5e-10
461	1.0	5e-10
462	1.0	5e-10
463	1.0	5e-10
464	1.0	5e-10
465	1.0	5e-10
466	1.0	5e-10
467	1.0	5e-10
468	1.0	5e-10
469	1.0	5e-10
470	1.0	5e-10
471	1.0	5e-10
472	1.0	5e-10
473	1.0	5e-10
474	1.0	5e-10
475	1.0	5e-10
476	1.0	5e-10
477	1.0	5e-10
478	1.0	5e-10
479	1.0	5e-10
480	1.0	5e-10
481	1.0	5e-10
482	1.0	5e-10
483	1.0	5e-10
484	1.0	5e-10
485	1.0	5e-10
486	1.0	5e-10
487	1.0	5e-10
488	1.0	5e-10
489	1.0	5e-10
490	1.0	5e-10
491	1.0	5e-10
492	1.0	5e-10
493	1.0	5e-10
494	1.0	5e-10
495	1.0	5e-10
496	1.0	5e-10
497	1.0	5e-10
498	1.0	5e-10
499	1.0	5e-10
500	1.0	5e-10
501	1.0	5e-10
502	1.0	5e-10
503	1.0	5e-10
504	1.0	5e-10
505	1.0	5e-10
506	1.0	5e-10
507	1.0	5e-10
508	1.0	5e-10
509	1.0	5e-10
510	1.0	5e-10
511	1.0	5e-10
512	1.0	5e-10
513	1.0	5e-10
514	1.0	5e-10
515	1.0	5e-10
516	1.0	5e-10
517	1.0	5e-10
518	1.0	5e-10
